"Product","Mean","Median","Date"
"Softback book",7.516515,6.99,"2000-01-01"
"Women's hair'",17.68743,16,"2000-01-01"
"Men's hair'",9.041444,7,"2000-01-01"
".",3.208779,3,"2000-01-01"
"Kerosene",181.3444,178.5,"2000-01-01"
"Oil",4.626826,4.69,"2000-01-01"
"Kerosene",184.7535,183.75,"2000-02-01"
".",3.232824,3,"2000-02-01"
"Men's hair'",8.708914,7,"2000-02-01"
"Women's hair'",17.51992,16,"2000-02-01"
"Softback book",7.722558,6.99,"2000-02-01"
"Hardback book",15.22585,14.99,"2000-02-01"
"Oil",4.66863,4.69,"2000-02-01"
".",3.228846,3,"2000-03-01"
"Oil",4.684201,4.69,"2000-03-01"
"Women's hair'",17.59278,16,"2000-03-01"
"Kerosene",191.6955,191.63,"2000-03-01"
"Softback book",7.606356,6.99,"2000-03-01"
"Men's hair'",8.861407,6.975,"2000-03-01"
"Hardback book",15.30364,14.99,"2000-03-01"
".",3.205769,3,"2000-04-01"
"Men's hair'",8.989264,7,"2000-04-01"
"Hardback book",15.39913,16.99,"2000-04-01"
"Women's hair'",17.74601,16,"2000-04-01"
"Softback book",7.497862,6.99,"2000-04-01"
"Oil",4.72653,4.69,"2000-04-01"
"Kerosene",187.5244,187.95,"2000-04-01"
"Softback book",7.655349,6.99,"2000-05-01"
